Season,Metro,MLB,NFL,NBA,NHL,MLB_teams,NFL_teams,NBA_teams,NHL_teams
2011,New York,2,2,1,2,30,32,30,30
2011,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2011,Pittsburgh,1,1,0,1,30,32,30,30
2011,Miami,1,1,1,1,30,32,30,30
2011,Dallas,1,1,1,1,30,32,30,30
2011,Detroit,1,1,1,1,30,32,30,30
2011,San Antonio,0,0,1,0,30,32,30,30
2011,Denver,1,1,1,1,30,32,30,30
2011,St. Louis,1,1,0,1,30,32,30,30
2011,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2011,Houston,1,1,1,0,30,32,30,30
2011,Toronto,1,0,1,1,30,32,30,30
2011,Washington D.C.,1,1,1,1,30,32,30,30
2011,New Jersey,0,0,1,1,30,32,30,30
2011,Anaheim,1,0,0,1,30,32,30,30
2011,Kansas City,1,1,0,0,30,32,30,30
2011,Philadelphia,1,1,1,1,30,32,30,30
2011,Baltimore,1,1,0,0,30,32,30,30
2011,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2011,Atlanta,1,1,1,0,30,32,30,30
2011,Minneapolis,1,1,1,1,30,32,30,30
2011,Phoenix,1,1,1,1,30,32,30,30
2011,Cleveland,1,1,1,0,30,32,30,30
2011,Indianapolis,0,1,1,0,30,32,30,30
2011,New Orleans,0,1,1,0,30,32,30,30
2011,Seattle,1,1,0,0,30,32,30,30
2011,Research Triangle,0,0,0,1,30,32,30,30
2011,Montreal,0,0,0,1,30,32,30,30
2011,San Diego,1,1,0,0,30,32,30,30
2011,Buffalo,0,1,0,1,30,32,30,30
2010,Boston,1,1,1,1,30,32,30,30
2010,Los Angeles,1,0,2,1,30,32,30,30
2010,Chicago,2,1,1,1,30,32,30,30
2010,New York,2,2,1,2,30,32,30,30
2010,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2010,Pittsburgh,1,1,0,1,30,32,30,30
2010,Miami,1,1,1,1,30,32,30,30
2010,Dallas,1,1,1,1,30,32,30,30
2010,Detroit,1,1,1,1,30,32,30,30
2010,San Antonio,0,0,1,0,30,32,30,30
2010,Denver,1,1,1,1,30,32,30,30
2010,St. Louis,1,1,0,1,30,32,30,30
2010,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2010,Houston,1,1,1,0,30,32,30,30
2010,Toronto,1,0,1,1,30,32,30,30
2010,Washington D.C.,1,1,1,1,30,32,30,30
2010,New Jersey,0,0,1,1,30,32,30,30
2010,Anaheim,1,0,0,1,30,32,30,30
2010,Kansas City,1,1,0,0,30,32,30,30
2010,Philadelphia,1,1,1,1,30,32,30,30
2010,Baltimore,1,1,0,0,30,32,30,30
2010,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2010,Atlanta,1,1,1,1,30,32,30,30
2010,Minneapolis,1,1,1,1,30,32,30,30
2010,Phoenix,1,1,1,1,30,32,30,30
2010,Cleveland,1,1,1,0,30,32,30,30
2010,Indianapolis,0,1,1,0,30,32,30,30
2010,New Orleans,0,1,1,0,30,32,30,30
2010,Seattle,1,1,0,0,30,32,30,30
2010,Research Triangle,0,0,0,1,30,32,30,30
2010,Montreal,0,0,0,1,30,32,30,30
2010,San Diego,1,1,0,0,30,32,30,30
2010,Buffalo,0,1,0,1,30,32,30,30
2009,Boston,1,1,1,1,30,32,30,30
2009,Los Angeles,1,0,2,1,30,32,30,30
2009,Chicago,2,1,1,1,30,32,30,30
2009,New York,2,2,1,2,30,32,30,30
2009,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2009,Pittsburgh,1,1,0,1,30,32,30,30
2009,Miami,1,1,1,1,30,32,30,30
2009,Dallas,1,1,1,1,30,32,30,30
2009,Detroit,1,1,1,1,30,32,30,30
